time,open,high,low,close,MRI Status
1751981400,296.95,304.04,295.64,301.55,0
1751995800,301.53,303.58,294.36,297.87,0
1752067800,297.55,300.15,293.55,294.49,0
1752082200,294.51,297.82,293.94,295.82,0
1752154200,300.05,307.92,299.99,301.86,0
1752168600,301.86,310.46,301.82,309.94,0
1752240600,307.58,311.91,305.65,310.83,0
1752255000,310.83,314.09,309.87,313.47,0
1752499800,317.65,322.59,312.67,315.34,0
1752514200,315.37,317.26,312.87,316.89,0
1752586200,319.68,321.2,312.7,314.05,0
1752600600,314.04,315.24,310.5,310.77,0
1752672600,312.8,321.69,312.63,320.21,0
1752687000,320.22,323.46,318.67,321.71,0
1752759000,323.12,324.34,317.7,319.47,0
1752773400,319.45,319.81,317.07,319.36,0
1752845400,321.66,330.71,321.42,327.56,0
1752859800,327.55,330.9,326.24,329.59,0
1753104600,334.37,338,326.89,329.73,0
1753119000,329.75,330.82,327.81,328.5,0
1753191000,329.84,332.34,321.55,331.895,0
1753205400,331.88,335.42,329.84,332.11,0
1753277400,330.9,336.2,328.68,330.86,0
1753291800,330.87,335.7,329.42,332.91,0
1753363800,310.09,310.15,300.41,304.29,0
1753378200,304.3,307.47,302.19,305.12,0
1753450200,308.74,323.62,308.02,317.84,0
1753464600,317.8,318.57,312.7,316.065,0
1753709400,318.07,330.48,315.71,328.16,0
1753723800,328.13,329.46,325.34,325.54,0
1753795800,325.58,326.25,318.25,320.43,0
1753810200,320.45,324.07,320.1,321.34,0
1753882200,322.18,324.46,316.92,317.85,0
1753896600,317.88,319.25,311.64,319.12,0
1753968600,319.54,321.36,309.59,309.87,0
1753983000,309.85,311.65,306.1,308.27,0
1754055000,306.12,309.31,297.83,303.27,0
1754069400,303.2,304.87,301.08,302.63,0
1754314200,309,312.13,303.18,308.47,0
1754328600,308.46,310.84,307.49,309.295,0
1754400600,308.99,312.45,305.5,308.09,0
1754415000,308.07,310.91,308.03,308.68,0
1754487000,307.85,319.55,306.95,318.53,0
1754501400,318.55,320.47,317.89,319.97,0
1754573400,319.79,322.39,317.62,318.42,0
1754587800,318.41,322.36,316.16,322.31,0
1754659800,321.46,335,320.98,328.68,0
1754674200,328.7,330.88,327.23,329.7,0
1754919000,334.995,346.64,334.2,342.39,0
1754933400,342.39,344.08,338.8,339.23,0
1755005400,345.12,345.24,332.96,338.79,0
1755019800,338.79,342.5,337.02,340.765,0
1755091800,341.59,348.98,338.55,341.5,0
1755106200,341.48,341.81,338.2,339.34,0
1755178200,335.69,340.45,330.4,333.96,0
1755192600,333.99,336.03,332.77,335.58,0
1755264600,337.65,339.31,327.02,330.88,0
1755279000,330.87,331.69,327.99,330.63,0
1755523800,329.66,335.34,329.59,334.75,0
1755538200,334.79,336.26,333.66,335.155,0
1755610200,335.85,340.55,327.85,329.72,0
1755624600,329.62,330.87,327.99,329.32,0
1755696600,329.23,331.37,314.6,321.06,0
1755711000,321.06,324.77,319.58,323.94,0
1755783000,322.11,324.9,318.68,319.41,0
1755797400,319.3,322.59,319.17,320.13,0
1755869400,321.67,338.32,319.69,338.02,0
1755883800,338.02,340.22,337.13,339.97,0
1756128600,338.92,348.7,335.02,348.35,0
1756143000,348.35,349.54,346.08,346.68,0
1756215000,344.93,349.13,343.72,347.11,0
1756229400,347.12,351.9,345.08,351.7,0
1756301400,351.94,355.4,349.15,351.01,0
1756315800,350.97,352.01,349.33,349.94,0
1756387800,351,353.55,340.26,343.43,0
1756402200,343.46,346.86,343.46,345.8,0
1756474200,347.21,348.72,332.67,333.74,0
1756488600,333.73,334.48,331.71,333.86,0
1756819800,328.24,333.32,325.59,329.81,0
1756834200,329.85,330.63,327.88,329.34,0
1756906200,335.12,343.33,328.51,341.76,0
1756920600,341.74,342.01,334.01,334.05,0
1756992600,336.16,337.63,331.49,335.04,0
1757007000,335.12,338.88,334.77,338.63,0
1757079000,348.08,355.87,344.7,352.08,0
1757093400,352.04,352.28,347.87,350.79,0
1757338200,354.7,358.48,344.84,347.44,0
1757352600,347.42,347.6,344.9,346.44,0
1757424600,348.44,350.77,343.83,346.91,0
1757439000,346.91,347.83,345.7,347.005,0
1757511000,350.37,356.33,346.08,354.27,0
1757525400,354.29,356.26,347.16,347.86,0
1757597400,350.17,364.33,347.6,364.1,0
1757611800,364.07,368.99,363.66,368.88,0
1757683800,370.78,395.99,370.25,393.59,0
1757698200,393.58,396.61,391.98,396,0
1757943000,423.2,425.69,414.25,417.55,0
1757957400,417.49,418.19,402.43,410.26,0
1758029400,414.47,422.12,411.5,418.77,0
1758043800,418.8,423.24,417.5,421.65,0
1758115800,415.78,420.42,409.67,419.72,0
1758130200,419.77,428.3,411.77,425.63,0
1758202200,428.82,432.21,420.84,423.43,0
1758216600,423.44,424.84,416.57,416.66,0
1758288600,421.955,429.47,421.75,423.54,0
1758303000,423.59,427,423.01,425.9,0
1758547800,431.1,444.98,429.12,433,0
1758562200,432.99,436.3,432.62,434.07,0
1758634200,439.99,440.97,430.86,433.67,0
1758648600,433.66,434.77,423.73,425.81,0
1758720600,429.81,440.55,429.04,439.49,0
1758735000,439.5,444.21,437.72,442.87,0
1758807000,435.16,435.35,423.4,426.97,0
1758821400,426.91,427.6,419.1,423.38,0
1758893400,428.425,434.6,421.03,433.1,0
1758907800,433.07,440.46,432.75,440.3,0
1759152600,444.36,450.98,439.5,441.84,0
1759167000,441.83,443.84,440.39,443.3,0
1759239000,441.5,443.55,433.14,437.49,0
1759253400,437.41,445,436.45,444.55,0
1759325400,443.8,459.09,440.75,458.49,0
1759339800,458.5,462.28,457.9,459.44,0
1759411800,470.37,470.76,441.45,445.88,0
1759426200,445.86,446.76,435.58,435.97,0
1759498200,443.29,446.75,419.56,420.95,0
1759512600,420.93,430.21,416.58,429.88,0
1759757400,440.82,449.99,436.69,448.74,0
1759771800,448.72,453.55,447.83,453.32,0
1759843800,447.815,452.66,436.33,448.65,0
1759858200,448.59,450.17,432.45,433.03,0
1759930200,437.57,437.77,425.23,435.74,0
1759944600,435.75,441.3,434.16,438.65,0
1760016600,431.57,434.31,426.18,429.74,0
1760031000,429.76,436.34,427.47,435.56,0
1760103000,436.54,443.13,415.45,419.43,0
1760117400,419.43,420.35,411.44,413.27,0
1760362200,423.5,429.3,419.71,429.03,0
1760376600,429,436.88,428.45,435.89,0
1760448600,426.75,434.2,417.88,432.22,0
1760463000,432.24,434.14,426.88,429.21,0
1760535000,434.99,440.5,426.35,428.71,0
1760549400,428.76,435.42,428.44,435.19,0
1760621400,434.73,439.35,425.88,431,0
1760635800,430.91,431.66,421.34,428.7,0
1760707800,425.42,440.75,423.6,436.57,0
1760722200,436.57,441.45,436.16,439.325,0
1760967000,443.94,449.8,440.6,443.25,0
1760981400,443.25,447.97,442.55,447.32,0
1761053400,445.755,449.28,442.06,445.66,0
1761067800,445.69,446.55,442.52,442.54,0
1761139800,443.46,445.51,429,432.96,0
1761154200,432.9,439.59,429.57,438.925,0
1761226200,420.06,449.38,413.91,446.24,0
1761240600,446.15,449.29,441.61,449.05,0
1761312600,447,451.7,434.52,435.15,0
1761327000,435.17,436.37,430.18,433.5,0
1761571800,439.94,459.18,438.72,457.95,0
1761586200,458,460.16,447.27,452.32,0
1761658200,454.775,467,451.62,464.19,0
1761672600,464.2,465.04,458.55,460.66,0
1761744600,462.53,465.71,456.78,459,0
1761759000,458.95,462.95,452.65,461.91,0
1761831000,450.98,455.07,439.62,445.87,0
1761845400,445.8,445.85,440,440.03,0
1761917400,446.81,457.73,443.7,444.83,0
1761931800,444.75,457.51,444.53,456.57,0
1762180200,455.92,474.02,453.82,468.3,0
1762194600,468.29,470.7,464.65,468.34,0
1762266600,454.37,460.22,446.39,447.64,0
1762281000,447.58,451.53,443.8,444.25,0
1762353000,452.05,458.2,440.71,457.99,0
1762367400,457.99,466.31,457.12,462.18,0
