time,open,high,low,close,MRI Status
1744848000,84027.5,85444,83777.2,84910.1,0
1744934400,84910.1,85087.9,84295.4,84472.5,0
1745020800,84472.5,85611.7,84384.6,85121.3,0
1745107200,85121.3,85309.2,84007.4,85150.1,0
1745193600,85150,88490,85150,87500.6,0
1745280000,87500.7,93888,87100,93472,0
1745366400,93472,94635.1,91949.5,93677,0
1745452800,93677,94000,91711,93999.9,0
1745539200,94000,95837.7,92900,94717.1,0
1745625600,94717.2,95189.5,93907.5,94663.5,0
1745712000,94663.5,95348.5,93621.5,93817,0
1745798400,93817,95600,92900,94998.1,0
1745884800,94998.1,95469.2,93809.5,94269.6,0
1745971200,94269.7,95195,92970.5,94205.4,0
1746057600,94205.4,97407.8,94148.3,96469.9,0
1746144000,96469.9,97885,96386.7,96920.7,0
1746230400,96920.7,96922.3,95785.9,95869.9,0
1746316800,95869.9,96298,94153.2,94303.1,0
1746403200,94303.1,95173.9,93570.1,94727,0
1746489600,94727,96877.8,93398.5,96816.7,0
1746576000,96816.7,97650,95824,97031.4,0
1746662400,97031.4,104082.5,96874.9,103228,0
1746748800,103228,104319.1,102344.7,102976.9,0
1746835200,102977,104943.7,102833.3,104800,0
1746921600,104799.9,104919.7,103326.8,104119,0
1747008000,104119,105728.8,100772.6,102825,0
1747094400,102825.1,104980,101525.1,104156.7,0
1747180800,104156.8,104280.1,102591.5,103589.7,0
1747267200,103589.7,104123,101441.6,103761.7,0
1747353600,103761.7,104500,103130,103500.1,0
1747440000,103500.1,103697.1,102690,103169.1,0
1747526400,103169.1,106631.8,103148.2,106525.6,0
1747612800,106525.6,107042.1,102100,105637.7,0
1747699200,105637.7,107262.6,104269,106855.6,0
1747785600,106855.6,110698,106155,109675.1,0
1747872000,109675.1,111983.2,109287.2,111711.1,0
1747958400,111711.1,111785.3,106824,107333.5,0
1748044800,107333.5,109503.4,106905.8,107824.2,0
1748131200,107824.2,109300.5,106672.9,109040.4,0
1748217600,109040.4,110352,108780,109468.6,0
1748304000,109468.6,110742.6,107600,109004.9,0
1748390400,109004.9,109250,106805.1,107811.7,0
1748476800,107811.7,108888,105348.4,105632.4,0
1748563200,105632.5,106333.8,103641.3,104019.7,0
1748649600,104019.7,104933.2,103169,104662,0
1748736000,104662,105879.7,103850,105712.4,0
1748822400,105712.4,105927.2,103737.7,105920.3,0
1748908800,105920.4,106820,104984.1,105446,0
